Customer,,,,,,,Order_items,,,
customer_id,first_name,last_name,email,phone,,,order_item_id,order_id,product_id,quantity
1,John,Doe,john.doe@example.com,555-1234,,,1,1,1,1
2,Jane,Smith,jane.smith@example.com,555-5678,,,2,1,3,1
3,Emily,Jones,emily.jones@example.com,555-8765,,,3,2,2,1
4,Michael,Brown,michael.brown@example.com,555-4321,,,4,3,4,1
5,Sarah,Davis,sarah.davis@example.com,555-2468,,,5,4,3,1
,,,,,,,6,5,1,1
,,,,,,,7,5,2,1
,,,,,,,8,5,5,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Orders,,,,,,,Products,,,
order_id,customer_id,order_date,total_amount,,,,product_id,product_name,price,stock_quantity
1,1,1/10/2024,999.98,,,,1,Laptop,899.99,10
2,2,1/12/2024,499.99,,,,2,Smartphone,499.99,25
3,3,1/15/2024,199.99,,,,3,Headphones,89.99,50
4,1,1/20/2024,89.99,,,,4,Smartwatch,199.99,15
5,4,1/25/2024,1199.97,,,,5,Tablet,299.99,20
,,,,,,,6,Charger,19.99,100
,,,,,,,7,Monitor,199.99,30
,,,,,,,8,Keyboard,49.99,60
,,,,,,,9,Mouse,29.99,75
,,,,,,,10,Printer,149.99,5
